SSTID CF Level size Creation Deletion key_start key_end
187 0 1 70149268 1681270769 1681270782 283 1838139
193 0 1 68149193 1681270769 1681270782 1838714 3644054
199 0 1 70047351 1681270769 1681270782 3644172 5485996
204 0 1 70543857 1681270770 1681270774 5486181 7341316
210 0 1 69487721 1681270770 1681270782 7341628 9173121
214 0 1 69374733 1681270771 1681270782 9173548 10998052
215 0 1 68403888 1681270771 1681270782 10998094 12839882
216 0 1 67376905 1681270771 1681270782 12839940 14656800
217 0 1 70096222 1681270772 1681270782 14657014 17396485
218 0 1 72099663 1681270772 1681270782 17396701 20185390
219 0 1 71032598 1681270773 1681270782 20185555 22948534
220 0 1 69727771 1681270773 1681270782 22949206 25697666
221 0 1 52925631 1681270773 1681270782 25699494 29999842
223 0 0 36726443 1681270774 1681270781 11987 29992146
226 0 0 36720823 1681270774 1681270782 3799 29984909
229 0 0 36726519 1681270774 1681270782 895 29999615
231 0 0 36726601 1681270774 1681270782 400 29996832
224 0 2 67267951 1681270774 1681270830 5486181 6387699
228 0 2 67267851 1681270774 1681270829 6387714 7302999
233 0 2 2766236 1681270774 1681270812 7303121 7341595
234 0 0 36732298 1681270775 1681270784 3429 29999488
237 0 0 36726453 1681270775 1681270785 1732 29991592
239 0 0 36720741 1681270775 1681270785 1169 29998250
242 0 0 36732155 1681270775 1681270786 8484 29995909
244 0 0 36732104 1681270775 1681270786 9809 29995773
246 0 0 36726469 1681270775 1681270787 2801 29996705
235 0 1 103424510 1681270775 1681270783 141 1838476
241 0 1 101311102 1681270775 1681270793 1838566 3644054
247 0 1 103961048 1681270776 1681270782 3644172 5486125
248 0 1 134520191 1681270776 1681270793 5486249 9121526
249 0 1 105069293 1681270777 1681270793 9121582 10998052
250 0 1 101696293 1681270778 1681270793 10998094 12839882
251 0 1 100807245 1681270778 1681270793 12839940 14656800
252 0 1 120247158 1681270779 1681270793 14657014 17396485
253 0 1 122547003 1681270779 1681270793 17396701 20185390
254 0 1 121081125 1681270780 1681270793 20185547 22948847
255 0 1 119743038 1681270781 1681270793 22949206 25697666
256 0 1 66766641 1681270781 1681270793 25697865 27856830
257 0 1 65256143 1681270782 1681270793 27857253 29999842
259 0 0 36726487 1681270782 1681270787 8501 29996635
262 0 0 36720767 1681270782 1681270788 4350 29981868
264 0 0 36732123 1681270782 1681270789 4305 29992922
267 0 0 36726542 1681270783 1681270789 1858 29994937
269 0 0 36732246 1681270783 1681270790 1886 29991360
272 0 0 36732139 1681270783 1681270790 1203 29990663
261 0 2 67266072 1681270782 1681270867 3644172 4371695
266 0 2 67265363 1681270783 1681270848 4371765 5101998
271 0 2 36062697 1681270783 1681270830 5102024 5486143
274 0 0 36732207 1681270783 1681270791 372 29993092
277 0 0 36732179 1681270783 1681270791 2539 29991662
